element;nb occurence;name of data element;name of the grouping item;name of registry;explanatory description;list of permitted values
status;40;fu_status;clinical_update;EURACAN;Status at last clinical update;1, Alive, No Evidence of Disease (NED) | 2, Alive, With Disease (AWD) | 3, Dead of Disease (DOD) | 4, Dead of Other Cause (DOC) | 5, Dead of Unknown Cause (DUC) | 6, Unknown status | 7, Patients lost to follow-up | 8, New cancer diagnosis
status;40;Disease status at the end of treatment;End of treatment;PaedCan;;Complete Remission/Presence of disease/Progressive disease/not evaluable
status;40;Patient's status at last follow up;Follow up (one form for each follow up visit);PaedCan;Patient alive or dead;alive/dead/lost to follow up/opted out/unknown
status;40;Disease status;Follow up (one form for each follow up visit);PaedCan;If the patient is alive reports the status of the disease;on treatment/ in 1st complete remission/in 2nd complete remission/alive in 3rd or more complete remission/ alive with disease/unknown
status;40;Patient's follow up status;Patient Status;EuRR-Bone & EuRRECa;Current follow up;patient active/patient inactive/patient care suspended/patient care terminated/deceased/uk
status;40;T4 status;Thyroid Clinical Outcome;EuRR-Bone & EuRRECa;Serum free T4 for local reference range;N/Low/High/Not Known
status;40;T3 Status;Thyroid Clinical Outcome;EuRR-Bone & EuRRECa;Serum Total T3 for local reference range;N/Low/High/Not Known
status;40;TSH status;Thyroid Clinical Outcome;EuRR-Bone & EuRRECa;Serum TSH for local reference range;N/Low/High/Not Known
status;40;Tg status;Thyroid Clinical Outcome;EuRR-Bone & EuRRECa;Serum Tg (on thyroxin treatment) either TSH-suppressed < 0,2 ng/ml or TSH-stimulated < 1 ng/ml;Below/Above
status;40;Calcitonin status;Thyroid Clinical Outcome;EuRR-Bone & EuRRECa;Serum Ct < 150 pg/ml;Below/Above
stenosed;1;ivc_obstructed_or_stenosed;Diagnosis Imaging / Haemodynamics / Fibroscan;Rare Liver (Vascular);Level of obstruction;radio
stenosis;1;hv_short_length_stenosis;Diagnosis Imaging / Haemodynamics / Fibroscan;Rare Liver (Vascular);Short length stenosis (;radio
stenting;1;date_of_stenting;Follow-up Events;Rare Liver (Vascular);Date of stenting;date
stents;1;pat_angioplasty_stents;Follow-up Events;Rare Liver (Vascular);Was a angioplasty/stenting performed in a previous f-u period;radio
steroid-resistant;1;Familial steroid-resistant nephrotic syndrome with adrenal insufficiency;ADRENAL;EuRR-Bone & EuRRECa;Familial steroid-resistant nephrotic syndrome with adrenal insufficiency;
stiffness;5;R_AIH_Liver_stiffness_FibroScan;(AIH Diagnosis) Liver histology / Staging;Rare Liver (Auto imune);Liver stiffness (FibroScan);numeric
stiffness;5;R_PBC_Liver_stiffness;(PBC Diagnosis) Liver histology / staging;Rare Liver (Auto imune);Liver stiffness (Fibroscan);numeric
stiffness;5;R_PSC_Liver_stiffness;(PSC Diagnosis) Liver histology / staging;Rare Liver (Auto imune);Liver stiffness (Fibroscan);numeric
stiffness;5;R_PSC_Liver_stiffness_followup;PSC Follow-up Outcome;Rare Liver (Auto imune);Liver stiffness (Fibroscan);numeric
stiffness;5;R_PBC_Liver_stiffness_followup;PBC Follow-up Outcome;Rare Liver (Auto imune);Liver stiffness (Fibroscan);numeric
still;1;woman_still_menstruated;Diagnosis Clinical Manifestations;Rare Liver (Vascular);Is she still menstruated?;radio
stimulation;1;EMG: repetitive nerve stimulation abnormality;Diagnosis EMG;EURO-NMD;Repetitive nerve stimulation result;
stoma;1;"catheterisable stoma 	Age (in days)	";2nd surgical procedure performed to check for and resect valve remnants: ;Eurogen (Posterior urethral valves);[Control];[Numeric (Integer)]
stool;2;stool_yn;Diagnosis Biobank;Rare Liver (Vascular);Stool sample obtained?;dropdown
stool;2;stool_dt;Diagnosis Biobank;Rare Liver (Vascular);Stool sample date;date
stop;5;Medication Date stopped;Medication ;EURO-NMD;;date
stop;5;Gastrostomy tube feeding­ date stopped;Bulbar/Gi ;EURO-NMD;;date
stop;5;Nasogastric tube feeding­ date stopped;Bulbar/Gi ;EURO-NMD;;date
stop;5;Drugs used and stopped during past 12 months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);remark;
stop;5;anticoag_perm_stop;Follow-up Events;Rare Liver (Vascular);Anticoagulation was permanently stopped;radio
stopped;4;Medication Date stopped;Medication ;EURO-NMD;;date
stopped;4;Gastrostomy tube feeding­ date stopped;Bulbar/Gi ;EURO-NMD;;date
stopped;4;Nasogastric tube feeding­ date stopped;Bulbar/Gi ;EURO-NMD;;date
stopped;4;Drugs used and stopped during past 12 months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);remark;
stored;3;R_PSC_Biosamples_stored;(PSC Diagnosis) Biobanking;Rare Liver (Auto imune);Biosamples stored;radio
stored;3;R_PSC_Biosamples_stored_followup;PSC Follow-up Biobanking;Rare Liver (Auto imune);Biosamples stored;radio
stored;3;R_AIH_Biosamples_stored;AIH Follow-up Biobanking;Rare Liver (Auto imune);Biosamples stored;radio
stridor;1;Stridor;Diagnosis Respiratory;EURO-NMD;;yesno
study;1;country_study;Diagnosis General Information;Rare Liver (Vascular);Country of study;dropdown
subcaps;1;intrahep_subcaps_hv_collat;Diagnosis Imaging / Haemodynamics / Fibroscan;Rare Liver (Vascular);Intrahepatic or subcapsular hepatic vein collaterals;radio
sudden;1;Sudden episodic apnea;Diagnosis Respiratory;EURO-NMD;Episodic apnoea;yesno
superior;1;superior_mesenteric_vein;Diagnosis Imaging / Haemodynamics / Fibroscan;Rare Liver (Vascular);Superior mesenteric vein;radio
supine;3;Head, lifted (45°, supine) Sec.;QMG;EURO-NMD;;
supine;3;Right leg outstretched (45° supine) Sec.;QMG;EURO-NMD;;
supine;3;Left leg outstretched (45° supine) Sec.;QMG;EURO-NMD;;
support;1;Learning support at school;Thyroid Clinical Outcome;EuRR-Bone & EuRRECa;Requiring extra help at school with learning;Y/N/Not Known
sur1;3;Autosomal dominant hyperinsulinism due to SUR1 deficiency;GLUCOSE & INSULIN;EuRR-Bone & EuRRECa;Autosomal dominant hyperinsulinism due to SUR1 deficiency;
sur1;3;Diazoxide-resistant focal hyperinsulinism due to SUR1 deficiency;GLUCOSE & INSULIN;EuRR-Bone & EuRRECa;Diazoxide-resistant focal hyperinsulinism due to SUR1 deficiency;
sur1;3;Autosomal recessive hyperinsulinism due to SUR1 deficiency;GLUCOSE & INSULIN;EuRR-Bone & EuRRECa;Autosomal recessive hyperinsulinism due to SUR1 deficiency;
surg;28;first_surgical_porto_shunt;Follow-up Events;Rare Liver (Vascular);First surgical portosystemic shunting;radio
surg;28;surgcal_shunt_constructed;Follow-up Events;Rare Liver (Vascular);Was a surgical shunt constructed in a previous f-u period;radio
surg;28;"anti reflux surgery 	Age (in days)	";2nd surgical procedure performed to check for and resect valve remnants: ;Eurogen (Posterior urethral valves);[Control];[Numeric (Integer)]
surg;28;prev_onco_hn_surgery;previous_cancer_genetic_syndromes;EURACAN;Previous oncological head and neck surgery;1, Yes | 2, No | 9, Unknown
surg;28;prev_hn_surgery_diag_y;previous_cancer_genetic_syndromes;EURACAN;Year of oncological head and neck surgery;
surg;28;prev_non_onco_hn_surgery;previous_cancer_genetic_syndromes;EURACAN;Previous non-oncological head and neck surgery ;1, Yes | 2, No | 9, Unknown
surg;28;prev_non_onco_hn_surg_diag_y;previous_cancer_genetic_syndromes;EURACAN;Year of non-oncological head and neck surgery;
surg;28;surgery;surgery;EURACAN;Surgery performed?;1, Yes done at the hospital | 2, Yes done at a different hospital | 3, Not Done
surg;28;surgery_date;surgery;EURACAN;Surgery date;
surg;28;surgery_date_mm;surgery;EURACAN;Month of surgery;
surg;28;surgery_date_yyyy;surgery;EURACAN;Year of surgery;
surg;28;surgery_type;surgery;EURACAN;Tumor site, type of  surgery;1, External | 2, Endoscopic | 3, Robotic | 9, Unknown
surg;28;surgery_nr_lymphnodes;surgery;EURACAN;Number of lymph nodes removed;
surg;28;surgery_nr_pos_lymphnodes;surgery;EURACAN;Number of positive lymph nodes;
surg;28;surgery_margins;surgery;EURACAN;Margins after surgery;0, R0 (microscopic negative) | 1, R1 (microscopic positive) | 2, R2 (macroscopic positive) | 9, Unknown
surg;28;surgery_nr_lymph_unk;surgery;EURACAN;Unknown;1, Unknown
surg;28;surgery_nr_pos_lymph_unk;surgery;EURACAN;Unknown;1, Unknown
surg;28;surgery_complications;surgery;EURACAN;Surgical complications (Clavien-Dindo Classification);1, Grade I | 2, Grade II | 3, Grade III | 4, Grade IIIa | 5, Grade IIIb | 6, Grade IV | 7, Grade IVa | 8, Grade IVb | 9, Grade V | 10, No complications | 99, Unknown
surg;28;surgery_fu_site;surgery;EURACAN;Surgery site;1, T | 2, N | 3, M
surg;28;Delayed surgery;Surgery;PaedCan;Surgery perfomed after initial treatment (chemo, radio,other);not perfomed/ complete tumor resection/microscopic residuals/macroscopic residuals/unknown
surg;28;Date of delayed surgery;Surgery;PaedCan;Date of delayed surgery;dd/mm/yyyy
surg;28;Further surgery;Surgery;PaedCan;A form to be completed if additional surgery has been perfomed;yes/no/unknown
surg;28;Date of further surgery;Surgery;PaedCan;Date of delayed surgery;dd/mm/yyyy
surg;28;Lymphnodes delayed surgery ;Surgery;PaedCan;Surgery perfomed after initial treatment (chemo, radio,other);not perfomed/sampling/lymphadenectomy/unknown
surg;28;Date of lymphnodes delayed surgery;Surgery;PaedCan;Date of delayed surgery;dd/mm/yyyy
surg;28;Metastases delayed surgery;Surgery;PaedCan;Surgery perfomed after initial treatment (chemo, radio,other);not perfomed/ complete tumor resection/ tumor macroscopically resected but surgical margins infiltrated/macroscopic residuals/unknown
surg;28;Date of metastases delayed surgery;Surgery;PaedCan;Date of delayed surgery;dd/mm/yyyy
surg;28;Surgical complications of tumor resection;Surgery;PaedCan;Presence or absence of any surgical complication ;yes/no/unknown
surgcal;1;surgcal_shunt_constructed;Follow-up Events;Rare Liver (Vascular);Was a surgical shunt constructed in a previous f-u period;radio
surgery;24;"anti reflux surgery 	Age (in days)	";2nd surgical procedure performed to check for and resect valve remnants: ;Eurogen (Posterior urethral valves);[Control];[Numeric (Integer)]
surgery;24;prev_onco_hn_surgery;previous_cancer_genetic_syndromes;EURACAN;Previous oncological head and neck surgery;1, Yes | 2, No | 9, Unknown
surgery;24;prev_hn_surgery_diag_y;previous_cancer_genetic_syndromes;EURACAN;Year of oncological head and neck surgery;
surgery;24;prev_non_onco_hn_surgery;previous_cancer_genetic_syndromes;EURACAN;Previous non-oncological head and neck surgery ;1, Yes | 2, No | 9, Unknown
surgery;24;surgery;surgery;EURACAN;Surgery performed?;1, Yes done at the hospital | 2, Yes done at a different hospital | 3, Not Done
surgery;24;surgery_date;surgery;EURACAN;Surgery date;
surgery;24;surgery_date_mm;surgery;EURACAN;Month of surgery;
surgery;24;surgery_date_yyyy;surgery;EURACAN;Year of surgery;
surgery;24;surgery_type;surgery;EURACAN;Tumor site, type of  surgery;1, External | 2, Endoscopic | 3, Robotic | 9, Unknown
surgery;24;surgery_nr_lymphnodes;surgery;EURACAN;Number of lymph nodes removed;
surgery;24;surgery_nr_pos_lymphnodes;surgery;EURACAN;Number of positive lymph nodes;
surgery;24;surgery_margins;surgery;EURACAN;Margins after surgery;0, R0 (microscopic negative) | 1, R1 (microscopic positive) | 2, R2 (macroscopic positive) | 9, Unknown
surgery;24;surgery_nr_lymph_unk;surgery;EURACAN;Unknown;1, Unknown
surgery;24;surgery_nr_pos_lymph_unk;surgery;EURACAN;Unknown;1, Unknown
surgery;24;surgery_complications;surgery;EURACAN;Surgical complications (Clavien-Dindo Classification);1, Grade I | 2, Grade II | 3, Grade III | 4, Grade IIIa | 5, Grade IIIb | 6, Grade IV | 7, Grade IVa | 8, Grade IVb | 9, Grade V | 10, No complications | 99, Unknown
surgery;24;surgery_fu_site;surgery;EURACAN;Surgery site;1, T | 2, N | 3, M
surgery;24;Delayed surgery;Surgery;PaedCan;Surgery perfomed after initial treatment (chemo, radio,other);not perfomed/ complete tumor resection/microscopic residuals/macroscopic residuals/unknown
surgery;24;Date of delayed surgery;Surgery;PaedCan;Date of delayed surgery;dd/mm/yyyy
surgery;24;Further surgery;Surgery;PaedCan;A form to be completed if additional surgery has been perfomed;yes/no/unknown
surgery;24;Date of further surgery;Surgery;PaedCan;Date of delayed surgery;dd/mm/yyyy
surgery;24;Lymphnodes delayed surgery ;Surgery;PaedCan;Surgery perfomed after initial treatment (chemo, radio,other);not perfomed/sampling/lymphadenectomy/unknown
surgery;24;Date of lymphnodes delayed surgery;Surgery;PaedCan;Date of delayed surgery;dd/mm/yyyy
surgery;24;Metastases delayed surgery;Surgery;PaedCan;Surgery perfomed after initial treatment (chemo, radio,other);not perfomed/ complete tumor resection/ tumor macroscopically resected but surgical margins infiltrated/macroscopic residuals/unknown
surgery;24;Date of metastases delayed surgery;Surgery;PaedCan;Date of delayed surgery;dd/mm/yyyy
surgical;2;first_surgical_porto_shunt;Follow-up Events;Rare Liver (Vascular);First surgical portosystemic shunting;radio
surgical;2;Surgical complications of tumor resection;Surgery;PaedCan;Presence or absence of any surgical complication ;yes/no/unknown
survey;1;a. Present or being treated at time of survey:;5. Constipation (independent of age): ;Eurogen (Anorectal Malformations);;[Radio button, one selection]
sv;2;fu_ima_bef_sv_patent;Follow-up Imaging data;Rare Liver (Vascular);Splenic vein patent;radio
sv;2;fu_ima_last_sv_patent;Follow-up Imaging data;Rare Liver (Vascular);Splenic vein patent;radio
swallowing;2;Swallowing difficulties;Bulbar/Gi ;EURO-NMD;;single
swallowing;2;Swallowing 4oz water (1/2 cup);QMG;EURO-NMD;;
swanganz;1;swanganz;Diagnosis Imaging / Haemodynamics / Fibroscan;Rare Liver (Vascular);Swan-Ganz;radio
sympt;12;Symptom fluctuation;Diagnosis Fluctuation;EURO-NMD;;yesno
sympt;12;asymptomatic;Diagnosis Clinical Manifestations;Rare Liver (Vascular);Asymptomatic;radio
sympt;12;other_symptoms;Diagnosis Clinical Manifestations;Rare Liver (Vascular);Other symptoms;textarea
sympt;12;mo_prior_to_onset_sympt;Diagnosis Aetiology;Rare Liver (Vascular);;radio
sympt;12;fu_biliary_symptoms;Follow-up Complications;Rare Liver (Vascular);Biliary symptoms;radio
sympt;12;Age at first symptoms available?;subject;Genturis;Is the age (years) at which the patient had his/her first symptoms known?;enum
sympt;12;Age at first symptoms;subject;Genturis;At what age (years) did the patient have his/her first symptoms?;int
sympt;12;Period of first symptom onset;;ithaca;;categorical
sympt;12;Date of first symptoms onset;;ithaca;;date
sympt;12;Age at first symptoms onset;;ithaca;;int
sympt;12;Specify symptoms and signs;Symptoms and signs;PaedCan;Definition of symptoms and signs caused by the tumor;String
sympt;12;Symptomatic form of Coffin-Lowry syndrome in female carriers;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Symptomatic form of Coffin-Lowry syndrome in female carriers;
symptom;11;Symptom fluctuation;Diagnosis Fluctuation;EURO-NMD;;yesno
symptom;11;asymptomatic;Diagnosis Clinical Manifestations;Rare Liver (Vascular);Asymptomatic;radio
symptom;11;other_symptoms;Diagnosis Clinical Manifestations;Rare Liver (Vascular);Other symptoms;textarea
symptom;11;fu_biliary_symptoms;Follow-up Complications;Rare Liver (Vascular);Biliary symptoms;radio
symptom;11;Age at first symptoms available?;subject;Genturis;Is the age (years) at which the patient had his/her first symptoms known?;enum
symptom;11;Age at first symptoms;subject;Genturis;At what age (years) did the patient have his/her first symptoms?;int
symptom;11;Period of first symptom onset;;ithaca;;categorical
symptom;11;Date of first symptoms onset;;ithaca;;date
symptom;11;Age at first symptoms onset;;ithaca;;int
symptom;11;Specify symptoms and signs;Symptoms and signs;PaedCan;Definition of symptoms and signs caused by the tumor;String
symptom;11;Symptomatic form of Coffin-Lowry syndrome in female carriers;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Symptomatic form of Coffin-Lowry syndrome in female carriers;
symptomatic;2;asymptomatic;Diagnosis Clinical Manifestations;Rare Liver (Vascular);Asymptomatic;radio
symptomatic;2;Symptomatic form of Coffin-Lowry syndrome in female carriers;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Symptomatic form of Coffin-Lowry syndrome in female carriers;
